I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-24, -58, -34, 41, 4, -46, -19, -53, -63, -78, -78, -53, 
-24, -53, -29, 39, 2, -41, -19, -53, -68, -78, -78, -53, 
-19, -58, -39, 39, 9, -48, -14, -48, -68, -73, -78, -48, 
-19, -63, -43, 41, 12, -53, -9, -43, -63, -73, -73, -48, 
-14, -58, -43, 36, 14, -51, -9, -43, -58, -78, -73, -53, 
-19, -58, -39, 39, 9, -48, -14, -48, -63, -82, -73, -48, 
-19, -58, -39, 39, 9, -48, -14, -53, -63, -82, -73, -48, 
-19, -58, -39, 39, 9, -48, -9, -48, -58, -82, -68, -48, 
-24, -63, -39, 43, 7, -51, -4, -43, -53, -78, -68, -43, 
-24, -68, -43, 46, 9, -56, -4, -43, -58, -78, -68, -39, 
-9, -63, -53, 36, 21, -58, -9, -43, -63, -73, -68, -39, 
-9, -58, -48, 34, 19, -53, -14, -39, -58, -73, -63, -39, 
-14, -58, -43, 36, 14, -51, -9, -34, -53, -73, -63, -34, 
-14, -53, -39, 34, 12, -46, -4, -34, -43, -73, -63, -34, 
-9, -39, -29, 24, 9, -34, 0, -29, -34, -68, -58, -34, 
-9, -29, -19, 19, 4, -24, 4, -19, -29, -63, -53, -34, 
-14, -34, -19, 24, 2, -26, 4, -19, -29, -53, -48, -34, 
-14, -34, -19, 24, 2, -26, 9, -24, -34, -53, -48, -34, 
-9, -24, -14, 17, 2, -19, 14, -19, -34, -58, -58, -39, 
-4, -24, -19, 14, 7, -21, 14, -19, -34, -58, -53, -34, 
-4, -19, -14, 12, 4, -17, 14, -19, -29, -48, -48, -34, 
-4, -14, -9, 9, 2, -12, 14, -9, -24, -43, -43, -34, 
-9, -14, -4, 12, -2, -9, 19, -9, -14, -48, -43, -34, 
-4, -9, -4, 7, 0, -7, 24, -9, -14, -48, -43, -34, 
-4, -4, 0, 4, -2, -2, 29, -9, -14, -43, -43, -34, 
0, -4, -4, 2, 2, -4, 24, -4, -14, -39, -48, -34, 
0, -9, -9, 4, 4, -9, 19, -4, -9, -43, -48, -39, 
0, -4, -4, 2, 2, -4, 14, -4, -14, -43, -43, -34, 
0, 4, 4, -2, -2, 4, 14, -4, -19, -43, -43, -34, 
4, 9, 4, -7, 0, 7, 19, 0, -4, -39, -43, -29, 
9, 14, 4, -12, 2, 9, 24, 4, 4, -39, -48, -29, 
9, 14, 4, -12, 2, 9, 29, 0, 4, -39, -43, -24, 
4, 14, 9, -9, -2, 12, 19, -9, 0, -39, -43, -24, 
0, 24, 24, -12, -12, 24, 9, -19, 0, -34, -39, -29, 
0, 29, 29, -14, -14, 29, 4, -29, 0, -34, -39, -24, 
4, 39, 34, -21, -14, 36, -4, -34, -4, -34, -39, -19, 
14, 43, 29, -29, -7, 36, -24, -43, -14, -39, -39, -19, 
14, 48, 34, -31, -9, 41, -43, -48, -19, -43, -39, -24, 
9, 43, 34, -26, -12, 39, -53, -48, -24, -43, -39, -19, 
9, 39, 29, -24, -9, 34, -53, -53, -29, -43, -43, -19, 
9, 39, 29, -24, -9, 34, -48, -53, -29, -43, -39, -19, 
0, 48, 48, -24, -24, 48, -34, -53, -29, -53, -39, -29, 
-9, 53, 63, -21, -36, 58, -14, -53, -29, -53, -43, -34, 
4, 73, 68, -39, -31, 70, -9, -48, -24, -43, -43, -24, 
19, 87, 68, -53, -24, 78, -14, -43, -14, -34, -29, -14, 
19, 87, 68, -53, -24, 78, -14, -43, -14, -29, -24, -14, 
14, 82, 68, -48, -26, 75, -19, -48, -14, -29, -24, -14, 
24, 78, 53, -51, -14, 65, -24, -48, -14, -29, -19, -4, 
34, 78, 43, -56, -4, 61, -34, -48, -24, -34, -19, -4, 
39, 68, 29, -53, 4, 48, -43, -48, -34, -34, -14, -4, 
34, 43, 9, -39, 12, 26, -48, -53, -39, -34, -19, 0, 
34, 29, -4, -31, 19, 12, -48, -63, -53, -43, -29, 0, 
39, 19, -19, -29, 29, 0, -53, -68, -63, -53, -29, 0, 
34, 4, -29, -19, 31, -12, -48, -63, -68, -58, -29, 0, 
19, -9, -29, -4, 24, -19, -39, -53, -63, -53, -34, 0, 
19, -19, -39, 0, 29, -29, -34, -58, -63, -58, -29, -4, 
14, -29, -43, 7, 29, -36, -34, -58, -58, -68, -34, -9, 
0, -39, -39, 19, 19, -39, -19, -53, -58, -58, -39, -9, 
-19, -48, -29, 34, 4, -39, -9, -43, -58, -58, -43, -19, 
-19, -63, -43, 41, 12, -53, -9, -43, -63, -73, -58, -34, 
-9, -73, -63, 41, 26, -68, -14, -43, -78, -82, -68, -39, 
-9, -78, -68, 43, 29, -73, -24, -53, -82, -82, -68, -39, 
-9, -78, -68, 43, 29, -73, -29, -58, -82, -82, -73, -43, 
-9, -78, -68, 43, 29, -73, -29, -58, -87, -92, -73, -39, 
-9, -78, -68, 43, 29, -73, -29, -63, -92, -92, -68, -34, 
-9, -78, -68, 43, 29, -73, -24, -63, -92, -92, -68, -39, 
-19, -87, -68, 53, 24, -78, -29, -58, -82, -92, -73, -43, 
-19, -92, -73, 56, 26, -82, -29, -53, -82, -97, -78, -48, 
-19, -92, -73, 56, 26, -82, -29, -53, -82, -97, -73, -43, 
-9, -92, -82, 51, 36, -87, -29, -63, -92, -102, -78, -43, 
-9, -97, -87, 53, 39, -92, -34, -68, -102, -112, -82, -53, 
-9, -102, -92, 56, 41, -97, -34, -63, -102, -112, -87, -53, 
-19, -107, -87, 63, 34, -97, -29, -68, -102, -112, -87, -58, 
-24, -107, -82, 65, 29, -95, -24, -68, -102, -107, -87, -53, 
-24, -102, -78, 63, 26, -90, -29, -68, -97, -102, -87, -48, 
-24, -102, -78, 63, 26, -90, -39, -68, -102, -107, -87, -53, 
-19, -97, -78, 58, 29, -87, -39, -63, -102, -107, -87, -53, 
-19, -97, -78, 58, 29, -87, -29, -58, -102, -97, -82, -48, 
-19, -102, -82, 61, 31, -92, -24, -53, -97, -97, -87, -48, 
-19, -107, -87, 63, 34, -97, -19, -53, -97, -107, -87, -53, 
-19, -102, -82, 61, 31, -92, -14, -53, -92, -107, -82, -53, 
-19, -102, -82, 61, 31, -92, -14, -53, -92, -102, -82, -48, 
-19, -102, -82, 61, 31, -92, -19, -53, -92, -102, -87, -48, 
-14, -97, -82, 56, 34, -90, -14, -48, -92, -107, -87, -48, 
-14, -97, -82, 56, 34, -90, -9, -48, -87, -107, -87, -48, 
-14, -102, -87, 58, 36, -95, -9, -48, -87, -97, -78, -43, 
-19, -97, -78, 58, 29, -87, -14, -48, -92, -102, -78, -43, 
-19, -97, -78, 58, 29, -87, -14, -53, -92, -107, -82, -43, 
-24, -102, -78, 63, 26, -90, -9, -48, -78, -102, -82, -43, 
-24, -102, -78, 63, 26, -90, -9, -48, -73, -97, -82, -53, 
-24, -97, -73, 61, 24, -85, -9, -43, -78, -102, -82, -53, 
-19, -107, -87, 63, 34, -97, -9, -39, -78, -97, -87, -53, 
-24, -112, -87, 68, 31, -100, -9, -39, -78, -92, -87, -58, 
-24, -107, -82, 65, 29, -95, -4, -39, -78, -92, -82, -58, 
-19, -102, -82, 61, 31, -92, -4, -43, -78, -102, -87, -58, 
-19, -107, -87, 63, 34, -97, 0, -39, -73, -97, -87, -58, 
-24, -112, -87, 68, 31, -100, 0, -34, -68, -92, -78, -53, 
-24, -107, -82, 65, 29, -95, -4, -39, -63, -87, -73, -48, 
-19, -107, -87, 63, 34, -97, -4, -39, -68, -87, -73, -48, 
-14, -107, -92, 61, 39, -100, -4, -39, -73, -87, -78, -48, 
-29, -107, -78, 68, 24, -92, -4, -43, -73, -92, -82, -53, 
-29, -107, -78, 68, 24, -92, -9, -43, -73, -92, -82, -48, 
-24, -112, -87, 68, 31, -100, -9, -43, -73, -92, -82, -48, 
-29, -117, -87, 73, 29, -102, -9, -39, -68, -87, -78, -48, 
-34, -126, -92, 80, 29, -109, 0, -29, -63, -87, -78, -48, 
-29, -126, -97, 78, 34, -112, 4, -19, -63, -82, -78, -43, 
-19, -131, -112, 75, 46, -122, 14, 0, -48, -73, -73, -39, 
-9, -131, -122, 70, 56, -126, 19, 34, -19, -58, -63, -29, 
-9, -131, -122, 70, 56, -126, 24, 63, 14, -29, -53, -24, 
-9, -131, -122, 70, 56, -126, 48, 97, 68, 4, -43, -19, 
-14, -131, -117, 73, 51, -124, 73, 141, 126, 43, -34, -19, 
-9, -117, -107, 63, 48, -112, 97, 180, 165, 92, -4, 0, 
14, -82, -97, 34, 56, -90, 112, 219, 204, 165, 53, 39, 
39, -48, -87, 4, 63, -68, 117, 268, 268, 263, 136, 97, 
58, -14, -73, -21, 65, -43, 122, 292, 336, 380, 219, 151, 
73, 4, -68, -39, 70, -31, 112, 263, 366, 483, 297, 204, 
92, 19, -73, -56, 82, -26, 87, 200, 380, 590, 375, 258, 
112, 48, -63, -80, 87, -7, 68, 146, 434, 741, 478, 326, 
136, 112, -24, -124, 80, 43, 68, 97, 507, 922, 614, 405, 
151, 180, 29, -165, 61, 104, 39, 4, 531, 1078, 751, 492, 
165, 244, 78, -204, 43, 161, -4, -117, 502, 1151, 839, 556, 
161, 297, 136, -229, 12, 217, -29, -268, 429, 1117, 863, 585, 
136, 351, 214, -244, -39, 283, -68, -473, 283, 966, 814, 561, 
97, 400, 302, -248, -102, 351, -126, -712, 82, 688, 683, 473, 
43, 448, 405, -246, -180, 427, -229, -946, -126, 370, 497, 346, 
-24, 517, 541, -246, -283, 529, -366, -1185, -336, 53, 302, 200, 
-87, 570, 658, -241, -373, 614, -488, -1449, -570, -283, 97, 53, 
-146, 585, 732, -219, -439, 658, -585, -1703, -814, -614, -112, -92, 
-204, 556, 761, -175, -483, 658, -688, -1932, -1083, -927, -317, -234, 
-258, 492, 751, -117, -505, 622, -800, -2127, -1356, -1205, -522, -370, 
-287, 409, 697, -61, -492, 553, -878, -2244, -1566, -1400, -678, -478, 
-307, 312, 619, -2, -463, 466, -912, -2230, -1629, -1464, -780, -551, 
-312, 224, 536, 43, -424, 380, -922, -2152, -1595, -1473, -854, -600, 
-317, 175, 492, 70, -405, 334, -941, -2088, -1571, -1449, -883, -624, 
-302, 136, 439, 82, -370, 287, -946, -1986, -1542, -1376, -858, -610, 
-278, 92, 370, 92, -324, 231, -917, -1834, -1468, -1268, -805, -570, 
-263, 58, 322, 102, -292, 190, -863, -1673, -1376, -1166, -741, -536, 
-239, 58, 297, 90, -268, 178, -800, -1507, -1263, -1044, -668, -488, 
-204, 78, 283, 63, -244, 180, -732, -1337, -1141, -912, -570, -414, 
-161, 92, 253, 34, -207, 173, -663, -1161, -1005, -780, -478, -341, 
-136, 92, 229, 21, -183, 161, -595, -1015, -893, -683, -409, -287, 
-126, 73, 200, 26, -163, 136, -531, -902, -810, -624, -366, -258, 
-112, 53, 165, 29, -139, 109, -488, -810, -722, -556, -326, -224, 
-87, 43, 131, 21, -109, 87, -439, -707, -639, -488, -287, -195, 
-73, 19, 92, 26, -82, 56, -380, -595, -556, -424, -253, -170, 
-58, 0, 58, 29, -58, 29, -302, -473, -463, -356, -219, -141, 
-53, -4, 48, 29, -51, 21, -214, -366, -356, -292, -185, -117, 
-58, -4, 53, 31, -56, 24, -151, -278, -268, -248, -151, -97, 
-53, -9, 43, 31, -48, 17, -107, -209, -214, -209, -131, -82, 
-39, -14, 24, 26, -31, 4, -68, -161, -170, -165, -112, -68, 
-24, -19, 4, 21, -14, -7, -48, -122, -131, -136, -92, -53, 
-14, -29, -14, 21, 0, -21, -34, -87, -102, -117, -78, -43, 
-14, -43, -29, 29, 7, -36, -19, -53, -78, -92, -63, -34, 
-14, -53, -39, 34, 12, -46, -4, -29, -48, -73, -48, -24, 
-14, -53, -39, 34, 12, -46, 9, -4, -24, -58, -43, -19, 
-14, -58, -43, 36, 14, -51, 24, 24, -9, -48, -39, -19, 
-4, -58, -53, 31, 24, -56, 29, 39, 0, -34, -29, -14, 
0, -53, -53, 26, 26, -53, 29, 34, 9, -29, -24, -9, 
-4, -58, -53, 31, 24, -56, 39, 39, 14, -24, -24, -9, 
0, -63, -63, 31, 31, -63, 48, 58, 14, -19, -24, -4, 
9, -58, -68, 24, 39, -63, 48, 68, 19, -9, -14, -4, 
9, -58, -68, 24, 39, -63, 48, 78, 29, -9, -9, -4, 
4, -63, -68, 29, 36, -65, 53, 82, 39, -4, -9, 0, 
0, -68, -68, 34, 34, -68, 63, 92, 48, 0, -9, 4, 
0, -68, -68, 34, 34, -68, 68, 92, 53, 9, 0, 4, 
0, -68, -68, 34, 34, -68, 82, 102, 58, 19, 9, 9, 
9, -68, -78, 29, 43, -73, 82, 112, 63, 19, 4, 14, 
9, -63, -73, 26, 41, -68, 78, 117, 68, 24, 9, 14, 
4, -63, -68, 29, 36, -65, 73, 122, 73, 29, 19, 19, 
14, -63, -78, 24, 46, -70, 73, 131, 73, 39, 24, 29, 
19, -58, -78, 19, 48, -68, 87, 136, 78, 39, 19, 29, 
14, -53, -68, 19, 41, -61, 92, 136, 82, 39, 14, 29, 
9, -53, -63, 21, 36, -58, 82, 136, 92, 39, 19, 29, 
14, -53, -68, 19, 41, -61, 73, 141, 92, 43, 29, 24, 
14, -53, -68, 19, 41, -61, 78, 151, 97, 53, 29, 29, 
9, -58, -68, 24, 39, -63, 87, 151, 102, 58, 29, 39, 
19, -53, -73, 17, 46, -63, 82, 151, 102, 58, 29, 39, 
24, -48, -73, 12, 48, -61, 82, 151, 102, 58, 29, 34, 
19, -48, -68, 14, 43, -58, 87, 156, 102, 63, 29, 34, 
9, -53, -63, 21, 36, -58, 92, 156, 112, 63, 39, 34, 
4, -58, -63, 26, 34, -61, 97, 161, 112, 68, 39, 34, 
9, -53, -63, 21, 36, -58, 102, 161, 107, 68, 39, 39, 
19, -48, -68, 14, 43, -58, 97, 165, 122, 73, 39, 43, 
24, -53, -78, 14, 51, -65, 102, 180, 131, 73, 48, 43, 
24, -48, -73, 12, 48, -61, 102, 180, 131, 78, 53, 43, 
29, -39, -68, 4, 48, -53, 97, 185, 131, 87, 58, 48, 
24, -43, -68, 9, 46, -56, 97, 190, 136, 97, 63, 53, 
24, -48, -73, 12, 48, -61, 102, 195, 141, 102, 58, 53, 
29, -43, -73, 7, 51, -58, 97, 195, 146, 97, 53, 53, 
34, -39, -73, 2, 53, -56, 92, 195, 151, 97, 58, 58, 
29, -43, -73, 7, 51, -58, 97, 200, 156, 102, 63, 58, 
24, -48, -73, 12, 48, -61, 112, 200, 156, 112, 63, 58, 
24, -43, -68, 9, 46, -56, 117, 204, 156, 117, 68, 53, 
29, -34, -63, 2, 46, -48, 117, 214, 161, 117, 73, 63, 
39, -24, -63, -7, 51, -43, 112, 214, 170, 122, 73, 63, 
39, -24, -63, -7, 51, -43, 122, 224, 175, 122, 73, 68, 
39, -19, -58, -9, 48, -39, 122, 234, 180, 126, 78, 73, 
39, -19, -58, -9, 48, -39, 122, 234, 190, 136, 87, 73, 
34, -19, -53, -7, 43, -36, 112, 239, 204, 146, 92, 78, 
39, -19, -58, -9, 48, -39, 112, 244, 200, 146, 92, 87, 
39, -9, -48, -14, 43, -29, 117, 248, 195, 146, 92, 87, 
48, -4, -53, -21, 51, -29, 122, 253, 204, 151, 102, 87, 
48, 0, -48, -24, 48, -24, 122, 258, 214, 156, 102, 92, 
43, 4, -39, -24, 41, -17, 126, 268, 219, 161, 112, 97, 
39, 4, -34, -21, 36, -14, 136, 273, 224, 175, 122, 97, 
39, 4, -34, -21, 36, -14, 141, 278, 224, 180, 126, 97, 
43, 9, -34, -26, 39, -12, 131, 283, 234, 185, 122, 102, 
53, 14, -39, -34, 46, -12, 136, 292, 248, 195, 126, 107, 
53, 19, -34, -36, 43, -7, 146, 302, 258, 204, 131, 107, 
53, 24, -29, -39, 41, -2, 141, 307, 263, 204, 136, 112, 
58, 24, -34, -41, 46, -4, 136, 317, 263, 214, 141, 117, 
58, 24, -34, -41, 46, -4, 141, 322, 268, 224, 146, 122, 
53, 34, -19, -43, 36, 7, 146, 326, 273, 224, 151, 126, 
58, 43, -14, -51, 36, 14, 151, 336, 287, 224, 151, 122, 
63, 43, -19, -53, 41, 12, 146, 351, 297, 234, 161, 126, 
63, 43, -19, -53, 41, 12, 146, 366, 307, 253, 170, 136, 
58, 48, -9, -53, 34, 19, 151, 375, 312, 263, 175, 146, 
63, 53, -9, -58, 36, 21, 156, 380, 322, 268, 180, 151, 
63, 58, -4, -61, 34, 26, 161, 390, 336, 278, 190, 151, 
68, 63, -4, -65, 36, 29, 170, 395, 336, 292, 204, 156, 
68, 68, 0, -68, 34, 34, 180, 405, 346, 302, 214, 170, 
73, 78, 4, -75, 34, 41, 175, 414, 361, 307, 214, 170, 
78, 87, 9, -82, 34, 48, 165, 429, 370, 312, 219, 170, 
82, 102, 19, -92, 31, 61, 165, 439, 375, 322, 229, 185, 
82, 107, 24, -95, 29, 65, 170, 453, 385, 341, 244, 190, 
78, 112, 34, -95, 21, 73, 175, 463, 395, 346, 248, 195, 
78, 117, 39, -97, 19, 78, 180, 473, 405, 356, 258, 200, 
87, 117, 29, -102, 29, 73, 195, 478, 409, 366, 268, 214, 
87, 122, 34, -104, 26, 78, 200, 488, 419, 380, 273, 224, 
82, 131, 48, -107, 17, 90, 200, 502, 434, 390, 283, 224, 
87, 141, 53, -114, 17, 97, 200, 507, 444, 400, 292, 229, 
97, 146, 48, -122, 24, 97, 200, 517, 448, 409, 297, 234, 
102, 156, 53, -129, 24, 104, 200, 527, 458, 419, 307, 244, 
102, 165, 63, -134, 19, 114, 200, 536, 468, 434, 317, 253, 
107, 170, 63, -139, 21, 117, 204, 541, 473, 444, 322, 263, 
112, 175, 63, -143, 24, 119, 204, 546, 478, 448, 336, 268, 
117, 185, 68, -151, 24, 126, 209, 556, 488, 453, 341, 273, 
122, 195, 73, -158, 24, 134, 204, 561, 497, 463, 351, 273, 
126, 200, 73, -163, 26, 136, 200, 566, 507, 473, 356, 278, 
117, 204, 87, -161, 14, 146, 200, 566, 512, 483, 366, 287, 
122, 209, 87, -165, 17, 148, 195, 570, 512, 488, 375, 287, 
131, 219, 87, -175, 21, 153, 190, 575, 517, 492, 375, 292, 
131, 229, 97, -180, 17, 163, 190, 575, 517, 502, 380, 292, 
126, 239, 112, -183, 7, 175, 200, 575, 517, 507, 385, 297, 
131, 244, 112, -187, 9, 178, 204, 575, 517, 512, 395, 307, 
131, 248, 117, -190, 7, 183, 200, 570, 517, 512, 395, 312, 
131, 253, 122, -192, 4, 187, 190, 566, 527, 512, 395, 317, 
126, 258, 131, -192, -2, 195, 185, 570, 522, 517, 390, 317, 
131, 268, 136, -200, -2, 202, 185, 566, 517, 517, 390, 307, 
131, 268, 136, -200, -2, 202, 190, 566, 517, 517, 395, 312, 
126, 273, 146, -200, -9, 209, 195, 561, 517, 517, 405, 317, 
126, 273, 146, -200, -9, 209, 200, 546, 512, 512, 405, 317, 
131, 287, 156, -209, -12, 222, 204, 541, 502, 517, 405, 312, 
131, 297, 165, -214, -17, 231, 195, 536, 507, 512, 405, 312, 
126, 302, 175, -214, -24, 239, 185, 527, 512, 512, 405, 312, 
131, 297, 165, -214, -17, 231, 180, 517, 512, 512, 405, 312, 
131, 302, 170, -217, -19, 236, 180, 502, 502, 502, 405, 307, 
126, 302, 175, -214, -24, 239, 170, 492, 492, 502, 405, 312, 
122, 307, 185, -214, -31, 246, 165, 478, 483, 492, 400, 307, 
122, 307, 185, -214, -31, 246, 161, 463, 468, 488, 395, 302, 
117, 312, 195, -214, -39, 253, 161, 453, 463, 478, 390, 297, 
117, 312, 195, -214, -39, 253, 151, 439, 458, 463, 380, 292, 
122, 307, 185, -214, -31, 246, 146, 414, 444, 458, 375, 283, 
112, 292, 180, -202, -34, 236, 146, 400, 434, 448, 366, 278, 
97, 283, 185, -190, -43, 234, 136, 385, 414, 424, 351, 268, 
102, 283, 180, -192, -39, 231, 126, 366, 395, 405, 336, 258, 
102, 278, 175, -190, -36, 226, 126, 346, 385, 390, 317, 248, 
87, 263, 175, -175, -43, 219, 117, 326, 380, 375, 302, 234, 
82, 248, 165, -165, -41, 207, 107, 312, 361, 361, 287, 224, 
82, 234, 151, -158, -34, 192, 102, 292, 336, 336, 278, 214, 
78, 224, 146, -151, -34, 185, 97, 278, 312, 312, 263, 200, 
68, 214, 146, -141, -39, 180, 102, 258, 302, 297, 244, 190, 
63, 200, 136, -131, -36, 168, 97, 244, 287, 273, 229, 170, 
58, 180, 122, -119, -31, 151, 82, 219, 263, 248, 214, 151, 
48, 170, 122, -109, -36, 146, 78, 200, 248, 234, 195, 141, 
39, 156, 117, -97, -39, 136, 73, 185, 234, 214, 170, 131, 
39, 146, 107, -92, -34, 126, 68, 170, 209, 185, 146, 117, 
39, 136, 97, -87, -29, 117, 63, 156, 190, 170, 126, 97, 
34, 122, 87, -78, -26, 104, 63, 141, 175, 156, 117, 87, 
29, 107, 78, -68, -24, 92, 53, 126, 161, 141, 107, 78, 
19, 102, 82, -61, -31, 92, 48, 112, 146, 122, 97, 68, 
19, 87, 68, -53, -24, 78, 48, 97, 131, 107, 78, 58, 
24, 73, 48, -48, -12, 61, 43, 82, 117, 92, 63, 48, 
19, 63, 43, -41, -12, 53, 43, 73, 97, 73, 48, 34, 
9, 58, 48, -34, -19, 53, 39, 68, 87, 58, 43, 24, 
9, 48, 39, -29, -14, 43, 29, 58, 73, 48, 34, 24, 
9, 43, 34, -26, -12, 39, 24, 43, 58, 34, 24, 14, 
0, 34, 34, -17, -17, 34, 24, 39, 48, 24, 9, 9, 
-4, 24, 29, -9, -17, 26, 24, 29, 39, 14, 4, 0, 
-4, 14, 19, -4, -12, 17, 19, 19, 29, 4, 0, -4, 
-4, 9, 14, -2, -9, 12, 9, 14, 24, -4, -4, -4, 
-14, 4, 19, 4, -17, 12, 4, 14, 19, -9, -9, -9, 
-19, -4, 14, 12, -17, 4, 0, 4, 14, -14, -14, -14, 
-14, 0, 14, 7, -14, 7, -4, -4, 0, -19, -19, -19, 
-9, 0, 9, 4, -9, 4, 0, -4, -9, -29, -19, -24, 
-14, -14, 0, 14, -7, -7, 4, -4, -14, -34, -29, -34, 
-19, -29, -9, 24, -4, -19, 4, -4, -14, -39, -43, -34, 
-19, -24, -4, 21, -7, -14, 4, -9, -14, -43, -39, -34, 
-19, -24, -4, 21, -7, -14, 14, -19, -24, -43, -34, -34, 
-19, -29, -9, 24, -4, -19, 14, -24, -34, -53, -39, -34, 
-19, -29, -9, 24, -4, -19, 9, -29, -39, -53, -48, -39, 
-24, -24, 0, 24, -12, -12, 4, -29, -39, -53, -48, -39, 
-19, -29, -9, 24, -4, -19, 4, -34, -39, -58, -43, -39, 
-14, -34, -19, 24, 2, -26, 4, -34, -39, -63, -53, -39, 
-19, -34, -14, 26, -2, -24, 4, -29, -39, -58, -58, -43, 
-24, -34, -9, 29, -7, -21, 9, -39, -43, -63, -53, -48, 
-24, -39, -14, 31, -4, -26, 9, -39, -43, -68, -58, -48, 
-24, -39, -14, 31, -4, -26, 4, -34, -39, -73, -58, -48, 
-29, -34, -4, 31, -12, -19, 0, -34, -34, -68, -58, -48, 
-29, -29, 0, 29, -14, -14, 0, -34, -43, -68, -63, -53, 
-19, -29, -9, 24, -4, -19, -4, -34, -53, -78, -63, -53, 
-19, -34, -14, 26, -2, -24, -4, -39, -58, -82, -63, -53, 
-19, -34, -14, 26, -2, -24, -4, -39, -58, -82, -63, -53, 
-19, -34, -14, 26, -2, -24, -9, -39, -53, -87, -63, -53, 
-24, -39, -14, 31, -4, -26, -14, -39, -48, -82, -63, -53, 
-24, -43, -19, 34, -2, -31, -4, -39, -48, -78, -63, -48, 
-24, -43, -19, 34, -2, -31, 4, -39, -48, -78, -63, -48, 
-24, -43, -19, 34, -2, -31, 0, -39, -53, -82, -68, -48, 
-24, -43, -19, 34, -2, -31, -4, -39, -53, -82, -68, -48, 
-24, -39, -14, 31, -4, -26, -4, -34, -48, -82, -63, -48, 
-24, -43, -19, 34, -2, -31, -4, -39, -43, -82, -58, -48, 
-24, -43, -19, 34, -2, -31, 0, -39, -48, -78, -58, -48, 
-29, -39, -9, 34, -9, -24, 9, -34, -48, -78, -63, -53, 
-19, -34, -14, 26, -2, -24, 4, -24, -48, -82, -58, -48, 
-14, -29, -14, 21, 0, -21, 0, -29, -39, -82, -58, -43, 
-24, -29, -4, 26, -9, -17, 0, -34, -39, -78, -63, -48, 
-24, -34, -9, 29, -7, -21, 0, -34, -43, -78, -68, -48, 
-24, -34, -9, 29, -7, -21, 0, -34, -48, -82, -63, -43, 
-19, -29, -9, 24, -4, -19, 0, -34, -48, -78, -63, -43, 
-19, -29, -9, 24, -4, -19, 4, -29, -43, -78, -68, -48, 
-14, -29, -14, 21, 0, -21, 0, -29, -43, -78, -73, -53, 
-14, -24, -9, 19, -2, -17, 0, -29, -39, -82, -68, -53, 
-19, -29, -9, 24, -4, -19, -4, -29, -39, -82, -68, -53, 
-19, -34, -14, 26, -2, -24, 0, -29, -39, -78, -63, -48, 
-19, -39, -19, 29, 0, -29, 0, -34, -43, -73, -63, -43, 
-19, -34, -14, 26, -2, -24, 0, -34, -39, -73, -58, -39, 
-14, -24, -9, 19, -2, -17, 0, -29, -39, -68, -58, -43, 
-14, -24, -9, 19, -2, -17, 0, -19, -39, -63, -58, -43, 
-14, -24, -9, 19, -2, -17, 0, -14, -29, -63, -58, -43, 
-14, -24, -9, 19, -2, -17, -9, -19, -29, -68, -53, -39, 
-9, -29, -19, 19, 4, -24, -14, -24, -34, -68, -53, -39, 
-14, -34, -19, 24, 2, -26, -9, -19, -39, -63, -53, -39, 
-24, -39, -14, 31, -4, -26, 0, -19, -39, -68, -58, -39, 
-19, -34, -14, 26, -2, -24, 0, -19, -43, -73, -58, -39, 
-14, -29, -14, 21, 0, -21, -4, -19, -43, -73, -48, -43, 
-19, -34, -14, 26, -2, -24, 0, -14, -39, -63, -43, -39, 
-19, -39, -19, 29, 0, -29, 4, -14, -34, -58, -43, -34, 
-14, -34, -19, 24, 2, -26, 0, -14, -34, -58, -48, -39, 
-4, -34, -29, 19, 12, -31, -4, -14, -39, -63, -43, -43, 
-4, -29, -24, 17, 9, -26, -4, -9, -39, -63, -43, -39, 
-14, -34, -19, 24, 2, -26, -4, -9, -34, -58, -43, -39, 
-19, -34, -14, 26, -2, -24, -9, -9, -34, -58, -43, -39, 
-9, -29, -19, 19, 4, -24, -9, -9, -39, -58, -43, -39, 
-9, -24, -14, 17, 2, -19, -9, -9, -39, -63, -43, -43, 
-14, -34, -19, 24, 2, -26, -9, -9, -34, -63, -43, -43, 
-19, -39, -19, 29, 0, -29, -9, -9, -34, -63, -43, -43, 
-19, -43, -24, 31, 2, -34, -9, -9, -34, -63, -39, -43, 
-19, -39, -19, 29, 0, -29, -9, -14, -39, -58, -39, -39, 
-19, -34, -14, 26, -2, -24, -14, -14, -43, -63, -43, -39, 
-9, -43, -34, 26, 12, -39, -14, -14, -39, -63, -48, -43, 
-4, -39, -34, 21, 14, -36, -9, -9, -34, -63, -43, -48, 
-9, -39, -29, 24, 9, -34, -4, -9, -34, -58, -43, -39, 
-19, -43, -24, 31, 2, -34, 0, -9, -39, -58, -43, -39, 
-19, -48, -29, 34, 4, -39, 4, -9, -39, -58, -48, -43, 
-4, -39, -34, 21, 14, -36, -4, -14, -43, -58, -48, -48, 
0, -34, -34, 17, 17, -34, -9, -14, -43, -68, -53, -48, 
-4, -39, -34, 21, 14, -36, -9, -14, -48, -68, -63, -48, 
-14, -39, -24, 26, 4, -31, -14, -19, -43, -68, -63, -48, 
-14, -39, -24, 26, 4, -31, -19, -24, -39, -68, -58, -48, 
-4, -39, -34, 21, 14, -36, -9, -24, -53, -73, -48, -48, 
-4, -43, -39, 24, 17, -41, -9, -29, -58, -73, -48, -53, 
