I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -97, -87, 53, 39, -92, -19, -4, -29, -48, -34, -43, 
-14, -107, -92, 61, 39, -100, -19, -9, -34, -43, -24, -39, 
-19, -117, -97, 68, 39, -107, -9, -4, -29, -39, -19, -34, 
-29, -117, -87, 73, 29, -102, -4, 0, -24, -39, -24, -34, 
-24, -117, -92, 70, 34, -104, -9, -4, -29, -48, -29, -39, 
-14, -112, -97, 63, 41, -104, -19, -9, -39, -53, -29, -39, 
-14, -117, -102, 65, 43, -109, -14, -9, -34, -48, -29, -39, 
-19, -122, -102, 70, 41, -112, -14, -4, -29, -43, -29, -39, 
-19, -117, -97, 68, 39, -107, -14, -4, -34, -43, -29, -39, 
-24, -117, -92, 70, 34, -104, -19, -9, -43, -48, -29, -43, 
-19, -112, -92, 65, 36, -102, -14, -9, -43, -58, -29, -43, 
-14, -112, -97, 63, 41, -104, -19, -9, -34, -53, -34, -43, 
-19, -107, -87, 63, 34, -97, -24, -9, -29, -48, -34, -48, 
-19, -107, -87, 63, 34, -97, -29, -9, -29, -53, -29, -48, 
-19, -107, -87, 63, 34, -97, -19, -14, -39, -58, -34, -48, 
-24, -112, -87, 68, 31, -100, -14, -19, -43, -58, -34, -43, 
-19, -122, -102, 70, 41, -112, -14, -19, -39, -58, -34, -43, 
-14, -117, -102, 65, 43, -109, -14, -9, -39, -53, -34, -43, 
-14, -112, -97, 63, 41, -104, -19, -14, -39, -53, -29, -39, 
-14, -117, -102, 65, 43, -109, -24, -19, -43, -53, -29, -43, 
-24, -122, -97, 73, 36, -109, -24, -14, -39, -58, -39, -48, 
-19, -122, -102, 70, 41, -112, -24, -9, -43, -58, -39, -48, 
-14, -117, -102, 65, 43, -109, -24, -14, -43, -58, -39, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -39, -63, -34, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -43, -63, -34, -48, 
-14, -112, -97, 63, 41, -104, -14, -14, -43, -63, -39, -53, 
-14, -112, -97, 63, 41, -104, -14, -19, -43, -63, -39, -53, 
-14, -112, -97, 63, 41, -104, -24, -14, -43, -58, -34, -48, 
-14, -122, -107, 68, 46, -114, -29, -14, -39, -53, -34, -43, 
-29, -131, -102, 80, 36, -117, -19, -14, -39, -58, -39, -48, 
-24, -131, -107, 78, 41, -119, -14, -14, -43, -63, -39, -48, 
-14, -122, -107, 68, 46, -114, -9, -14, -39, -63, -34, -39, 
-19, -117, -97, 68, 39, -107, -9, -14, -39, -63, -34, -39, 
-19, -117, -97, 68, 39, -107, -19, -24, -43, -68, -34, -43, 
-19, -117, -97, 68, 39, -107, -29, -19, -43, -68, -34, -43, 
-19, -112, -92, 65, 36, -102, -24, -14, -39, -63, -39, -39, 
-19, -112, -92, 65, 36, -102, -24, -19, -39, -63, -39, -43, 
-14, -117, -102, 65, 43, -109, -19, -24, -43, -63, -43, -48, 
-19, -117, -97, 68, 39, -107, -9, -19, -43, -68, -43, -48, 
-19, -122, -102, 70, 41, -112, -4, -14, -39, -68, -43, -43, 
-24, -126, -102, 75, 39, -114, -9, -14, -39, -58, -39, -48, 
-19, -126, -107, 73, 43, -117, -9, -19, -39, -58, -39, -43, 
-14, -126, -112, 70, 48, -119, -14, -14, -43, -58, -43, -39, 
-29, -131, -102, 80, 36, -117, -19, -14, -43, -58, -39, -39, 
-29, -126, -97, 78, 34, -112, -24, -19, -43, -58, -39, -39, 
-14, -122, -107, 68, 46, -114, -14, -19, -39, -58, -34, -39, 
-14, -126, -112, 70, 48, -119, -14, -14, -39, -58, -34, -39, 
-14, -131, -117, 73, 51, -124, -14, -19, -43, -58, -34, -43, 
-14, -126, -112, 70, 48, -119, -19, -24, -48, -58, -39, -39, 
-24, -126, -102, 75, 39, -114, -14, -19, -43, -63, -43, -39, 
-24, -126, -102, 75, 39, -114, -14, -14, -43, -63, -43, -39, 
-19, -122, -102, 70, 41, -112, -24, -19, -43, -63, -43, -43, 
-14, -117, -102, 65, 43, -109, -24, -19, -48, -58, -43, -48, 
-14, -117, -102, 65, 43, -109, -29, -14, -43, -58, -43, -43, 
-9, -117, -107, 63, 48, -112, -34, -19, -39, -58, -39, -48, 
-14, -122, -107, 68, 46, -114, -34, -14, -39, -58, -43, -53, 
-24, -122, -97, 73, 36, -109, -24, -19, -39, -58, -43, -53, 
-24, -117, -92, 70, 34, -104, -14, -24, -53, -63, -48, -53, 
-19, -117, -97, 68, 39, -107, -9, -24, -58, -63, -43, -53, 
-19, -112, -92, 65, 36, -102, -4, -29, -63, -68, -43, -58, 
-14, -102, -87, 58, 36, -95, -19, -34, -68, -78, -53, -58, 
-14, -102, -87, 58, 36, -95, -29, -29, -58, -78, -58, -58, 
-19, -112, -92, 65, 36, -102, -24, -24, -53, -73, -53, -58, 
-24, -117, -92, 70, 34, -104, -14, -24, -48, -78, -48, -53, 
-14, -112, -97, 63, 41, -104, -19, -29, -53, -78, -53, -53, 
-14, -117, -102, 65, 43, -109, -24, -29, -63, -78, -53, -58, 
-19, -122, -102, 70, 41, -112, -19, -24, -63, -73, -43, -53, 
-9, -117, -107, 63, 48, -112, -9, -19, -58, -68, -39, -43, 
-4, -112, -107, 58, 51, -109, -9, -19, -53, -68, -43, -48, 
-14, -117, -102, 65, 43, -109, -14, -24, -58, -68, -48, -53, 
-19, -117, -97, 68, 39, -107, -14, -19, -53, -63, -43, -53, 
-19, -112, -92, 65, 36, -102, -14, -24, -48, -63, -43, -53, 
-14, -112, -97, 63, 41, -104, -19, -29, -53, -63, -43, -53, 
-24, -117, -92, 70, 34, -104, -24, -29, -58, -68, -48, -53, 
-24, -112, -87, 68, 31, -100, -24, -24, -58, -73, -48, -48, 
-14, -107, -92, 61, 39, -100, -24, -19, -58, -68, -48, -53, 
-9, -107, -97, 58, 43, -102, -24, -19, -63, -68, -43, -53, 
-14, -107, -92, 61, 39, -100, -14, -24, -53, -63, -43, -48, 
-19, -102, -82, 61, 31, -92, -14, -19, -43, -58, -39, -43, 
